graph_id,edge_list
graph_10,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 11), (1, 13), (1, 14), (1, 15), (1, 16), (1, 18), (1, 19), (1, 20), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 16), (2, 17), (2, 18), (2, 21), (3, 4), (3, 5), (3, 9), (3, 10), (3, 11), (3, 15), (3, 17), (3, 20), (4, 5), (4, 6), (4, 7), (4, 8), (4, 10), (4, 11), (4, 12), (4, 13), (4, 15), (4, 16), (4, 18), (4, 20), (5, 6), (5, 7), (5, 8), (5, 12), (5, 15), (5, 16), (6, 7), (6, 8), (6, 9), (6, 10), (6, 12), (6, 15), (6, 17), (6, 18), (6, 21), (7, 11), (7, 12), (7, 14), (7, 15), (7, 17), (7, 18), (7, 19), (8, 9), (8, 14), (8, 17), (8, 19), (8, 20), (9, 10), (9, 11), (9, 16), (9, 18), (9, 19), (9, 20), (10, 11), (10, 12), (10, 14), (10, 15), (11, 13), (11, 16), (11, 17), (11, 19), (12, 13), (12, 15), (12, 19), (12, 23), (13, 16), (13, 18), (13, 19), (13, 20), (14, 18), (14, 19), (14, 20), (14, 21), (14, 25), (15, 16), (15, 17), (15, 18), (15, 20), (16, 17), (16, 18), (16, 19), (16, 20), (17, 19), (17, 21), (17, 22), (18, 20), (19, 20), (19, 21), (20, 21), (21, 22), (21, 23)"
graph_11,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (1, 2), (1, 3), (1, 4), (1, 5), (1, 11), (1, 12), (1, 13), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 9), (2, 11), (3, 4), (3, 5), (3, 6), (3, 8), (3, 12), (4, 5), (4, 6), (4, 8), (4, 10), (5, 6), (5, 7), (5, 8), (5, 9), (5, 11), (5, 12), (6, 7), (6, 10), (6, 12), (7, 8), (8, 9), (8, 10), (9, 14), (12, 14)"
graph_12,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (2, 4), (2, 5), (2, 6), (2, 7), (2, 9), (2, 10), (2, 11), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 13), (4, 5), (4, 6), (4, 7), (4, 9), (4, 11), (4, 12), (5, 6), (5, 7), (5, 8), (5, 10), (5, 11), (5, 12), (5, 14), (6, 8), (6, 10), (6, 12), (6, 13), (10, 13)"
graph_13,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23), (0, 24), (1, 2), (1, 3), (1, 4), (1, 6), (1, 8), (1, 9), (1, 10), (2, 5), (2, 7), (2, 11), (2, 12), (2, 13), (2, 15), (2, 23), (2, 26), (2, 28), (3, 6), (3, 10), (3, 11), (3, 14), (4, 7), (4, 8), (4, 10), (4, 11), (4, 13), (4, 14), (5, 9), (5, 10), (5, 11), (5, 14), (5, 18), (5, 20), (5, 22), (6, 8), (6, 16), (6, 21), (6, 24), (7, 9), (7, 10), (7, 11), (7, 13), (7, 14), (7, 18), (7, 20), (7, 22), (7, 24), (8, 10), (8, 12), (8, 13), (8, 20), (8, 23), (9, 22), (10, 29), (12, 19), (12, 20), (13, 14), (13, 15), (13, 16), (13, 21), (13, 22), (14, 20), (14, 31), (16, 18), (16, 23), (16, 31), (20, 29)"
graph_14,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 3), (1, 4), (1, 5), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 14), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 10), (2, 11), (2, 13), (2, 14), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (4, 5), (4, 7), (4, 9), (4, 12), (4, 13), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 13), (5, 14), (6, 7), (6, 8), (6, 9), (6, 10), (6, 12), (6, 14), (6, 16), (6, 17), (7, 8), (7, 9), (7, 10), (7, 11), (7, 14), (8, 12), (8, 13), (8, 16), (9, 10), (9, 14), (10, 11), (10, 13), (10, 14), (11, 17), (12, 14), (12, 16), (13, 18), (14, 15), (16, 17), (17, 19)"
graph_15,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 2), (1, 3), (1, 5), (1, 8), (1, 17), (1, 20), (1, 21), (1, 23), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 9), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 25), (3, 4), (3, 7), (3, 8), (3, 10), (3, 13), (3, 15), (3, 16), (3, 18), (3, 19), (3, 20), (3, 22), (3, 23), (4, 5), (4, 6), (4, 7), (4, 14), (4, 17), (4, 22), (4, 24), (4, 25), (4, 28), (5, 7), (5, 8), (5, 9), (5, 13), (5, 17), (5, 18), (5, 19), (5, 22), (5, 24), (5, 25), (5, 26), (6, 7), (6, 13), (6, 18), (6, 22), (6, 24), (6, 25), (7, 8), (7, 13), (7, 23), (7, 25), (7, 28), (8, 14), (8, 17), (8, 21), (8, 22), (8, 23), (8, 28), (8, 29), (9, 10), (9, 13), (9, 23), (9, 27), (11, 14), (11, 15), (11, 26), (11, 27), (12, 13), (12, 31), (13, 15), (13, 21), (13, 27), (14, 22), (15, 19), (15, 25), (15, 27), (15, 28), (16, 17), (16, 18), (16, 22), (16, 24), (16, 28), (17, 21), (17, 25), (17, 26), (17, 28), (17, 30), (17, 31), (18, 21), (18, 22), (18, 26), (18, 29), (18, 31), (18, 32), (18, 34), (19, 20), (19, 21), (19, 22), (19, 25), (19, 27), (19, 28), (19, 30), (20, 22), (20, 24), (21, 23), (21, 25), (22, 24), (22, 27), (22, 28), (22, 32), (23, 25), (23, 26), (24, 27), (27, 29), (27, 34)"
graph_16,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 14), (2, 15), (2, 16), (2, 17), (3, 4), (3, 8), (3, 15), (3, 16), (4, 5), (4, 7), (4, 9), (5, 6), (5, 7), (5, 8), (5, 9), (5, 15), (6, 7), (6, 8), (6, 9), (6, 12), (7, 8), (7, 9), (7, 16), (8, 10), (8, 13), (9, 17), (10, 12), (10, 14), (13, 17), (15, 17), (15, 18)"
graph_17,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 12), (0, 13), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (2, 3), (2, 4), (2, 9), (2, 10), (2, 11), (2, 12), (3, 4), (3, 5), (3, 6), (3, 7), (3, 11), (3, 14), (4, 5), (4, 6), (4, 7), (4, 9), (4, 12), (4, 13), (4, 14), (5, 6), (5, 7), (5, 12), (5, 13), (6, 10), (6, 12), (6, 17), (7, 8), (7, 9), (7, 15), (7, 16), (7, 18), (8, 13), (8, 18), (9, 10), (9, 11), (9, 12), (9, 17), (11, 14), (11, 15), (11, 17), (12, 14), (12, 15), (12, 18), (13, 16), (13, 19), (13, 20), (14, 17), (15, 17), (15, 19), (16, 17), (17, 18), (17, 19), (17, 21), (18, 19), (19, 20)"
graph_18,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 15), (0, 16), (0, 17), (0, 18), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 15), (2, 16), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 5), (4, 6), (4, 9), (4, 12), (4, 14), (4, 15), (4, 16), (4, 18), (4, 21), (4, 22), (5, 6), (5, 8), (5, 9), (5, 10), (5, 16), (6, 7), (6, 10), (6, 12), (6, 13), (6, 14), (6, 19), (7, 8), (7, 10), (7, 11), (7, 17), (8, 10), (8, 15), (8, 16), (8, 17), (9, 10), (9, 13), (9, 18), (10, 14), (11, 12), (11, 17), (11, 19), (11, 20), (12, 13), (12, 15), (12, 16), (13, 14), (13, 15), (14, 18), (15, 16), (15, 18), (15, 20), (16, 18), (16, 19), (17, 18), (17, 21), (19, 22), (19, 24), (20, 21), (20, 22), (21, 22), (22, 23), (25, 26)"
graph_19,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 16), (0, 18), (1, 2), (1, 3), (1, 6), (1, 9), (1, 11), (1, 13), (1, 15), (2, 3), (2, 4), (2, 8), (2, 9), (2, 10), (2, 11), (2, 13), (2, 15), (3, 4), (3, 5), (3, 8), (3, 11), (3, 15), (3, 16), (3, 18), (4, 6), (4, 7), (4, 10), (4, 11), (4, 12), (4, 13), (4, 16), (4, 19), (5, 7), (5, 8), (5, 10), (5, 12), (5, 14), (5, 15), (6, 9), (6, 10), (6, 11), (6, 17), (6, 18), (6, 19), (7, 8), (7, 11), (7, 13), (7, 18), (7, 19), (7, 20), (8, 9), (8, 11), (8, 13), (8, 15), (8, 16), (8, 17), (8, 18), (9, 10), (9, 17), (10, 16), (10, 18), (11, 12), (11, 16), (11, 19), (13, 19), (14, 17), (15, 18), (15, 19), (18, 19)"
graph_20,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 15), (0, 16), (0, 17), (0, 18), (0, 20), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 10), (2, 13), (2, 14), (2, 15), (2, 17), (3, 5), (3, 7), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (3, 18), (4, 5), (4, 6), (4, 7), (4, 10), (4, 16), (4, 17), (4, 19), (4, 22), (5, 6), (5, 7), (5, 11), (5, 12), (5, 14), (5, 16), (5, 19), (6, 8), (6, 13), (6, 15), (6, 16), (7, 10), (7, 12), (7, 13), (7, 14), (7, 16), (7, 17), (8, 16), (8, 19), (9, 10), (9, 19), (10, 15), (10, 18), (10, 19), (11, 12), (11, 15), (13, 16), (14, 18), (14, 20), (14, 22), (16, 19), (18, 19)"
graph_21,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (1, 2), (1, 3), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 13), (2, 17), (2, 18), (2, 21), (2, 22), (2, 23), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 12), (3, 13), (3, 16), (3, 17), (3, 19), (3, 20), (4, 5), (4, 8), (4, 11), (4, 12), (4, 15), (5, 7), (5, 11), (5, 13), (5, 16), (5, 18), (5, 19), (5, 21), (5, 22), (5, 24), (6, 9), (6, 12), (6, 16), (6, 19), (6, 22), (6, 23), (6, 25), (7, 19), (7, 20), (7, 23), (8, 20), (8, 21), (9, 17), (9, 21), (9, 22), (9, 24), (9, 25), (10, 19), (11, 19), (11, 22), (12, 24), (13, 16), (15, 18), (15, 21), (15, 22), (20, 22), (20, 25), (21, 22), (22, 23)"
graph_22,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (1, 2), (1, 3), (1, 9), (1, 10), (2, 10), (2, 13), (3, 10), (3, 11), (3, 12), (3, 13), (3, 15), (4, 6), (5, 7), (5, 14), (6, 9), (6, 12), (6, 13), (7, 14), (8, 9), (8, 14)"
graph_23,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 22), (0, 23), (0, 25), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 11), (1, 12), (1, 13), (2, 3), (2, 4), (2, 6), (2, 8), (2, 9), (2, 10), (2, 11), (2, 14), (2, 17), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 12), (3, 13), (3, 14), (3, 18), (3, 23), (4, 5), (4, 6), (4, 8), (4, 9), (4, 10), (4, 12), (4, 14), (4, 15), (4, 19), (5, 6), (5, 7), (5, 9), (5, 10), (5, 11), (5, 13), (5, 15), (5, 16), (5, 24), (6, 7), (6, 8), (6, 9), (6, 12), (6, 13), (6, 20), (7, 8), (7, 10), (7, 11), (7, 13), (7, 16), (7, 18), (8, 10), (8, 12), (8, 13), (8, 14), (8, 15), (8, 18), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 18), (9, 22), (10, 12), (10, 13), (10, 14), (10, 15), (11, 13), (11, 16), (11, 18), (12, 13), (12, 17), (12, 18), (12, 20), (13, 14), (13, 15), (14, 22), (15, 16), (15, 18), (16, 22), (18, 24), (19, 21), (19, 25), (20, 24), (21, 23), (23, 24), (26, 29), (26, 31)"
graph_24,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 10), (2, 11), (2, 12), (2, 13), (2, 16), (2, 17), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 11), (3, 12), (3, 15), (4, 5), (4, 6), (4, 8), (4, 10), (4, 11), (4, 12), (4, 14), (4, 16), (4, 17), (4, 18), (5, 6), (5, 8), (5, 14), (5, 15), (5, 18), (6, 7), (6, 16), (6, 17), (7, 8), (7, 17), (8, 9), (8, 19), (15, 16)"
graph_25,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 2), (1, 3), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 15), (3, 10), (3, 13), (3, 14), (3, 17), (4, 9), (4, 12), (4, 13), (4, 14), (4, 15), (5, 12), (5, 14), (5, 15), (6, 13), (6, 16), (7, 11), (7, 12), (7, 13), (8, 12), (8, 15), (8, 16), (9, 10), (10, 11), (10, 15), (10, 16), (11, 12), (12, 14), (14, 18), (15, 16), (15, 20)"
